treatment,participant,session,earnings,lospade_max,max1,choice1,max2,choice2,max3,choice3,max4,choice4,max5,choice5,max6,choice6,max7,choice7,experience,exp_group,gender,math,school,is_econ,native,nationality,age
"Post",102,42,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",15,"Much","Female","NonMath","MED",0,"NonNative","IND",28
"Post",103,42,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",15,"Much","Male","Math","ECO",1,"Native","GBR",21
"Post+Amount",104,51,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",42,"Much","Male","Math","MTH",0,"Native","GBR",20
"Post+Amount",105,51,5.6,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"2spade",13,"Much","Male","Math","CMP",0,"NonNative","KAZ",24
"Post+Amount",106,51,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",15,"Much","Male","NonMath","NBS",0,"Native","GBR",20
"Post+Amount",107,51,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",11,"Much","Male","Math","MTH",0,"Native","GBR",21
"Post+Amount",108,51,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",16,"Much","Female","NonMath","PPL",0,"NonNative","LTU",22
"Post+Amount",109,51,6.9,1,1,"Qheart",1,"5spade",1,"Jdiamond",0,"Jclub",1,"10diamond",1,"3spade",1,"2spade",16,"Much","Female","Math","",0,"Native","GBR",26
"Post+Amount",110,52,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",19,"Much","Female","NonMath","BIO",0,"NonNative","MYS",20
"Post+Amount",111,52,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",15,"Much","Male","Math","PHA",0,"Native","GBR",21
"Post+Amount",112,52,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",10,"Much","Female","Math","ENV",0,"NonNative","POL",20
"Post+Amount",113,52,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",12,"Much","Male","Math","",0,"Native"," ",22
"Post+Amount",114,52,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",19,"Much","Female","NonMath","LAW",0,"NonNative","MYS",21
"Post+Amount",115,52,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",24,"Much","Male","Math","ECO",1,"Native","GBR",20
"Post+Amount",116,61,5.6,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"2spade",0,"None","Female","Math","NBS",0,"NonNative","KAZ",23
"Post+Amount",117,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Female","Math","DEV",0,"Native","GBR",21
"Post+Amount",118,61,5.8,1,0,"6diamond",1,"5spade",1,"Jdiamond",0,"6club",1,"10diamond",1,"3spade",1,"2spade",0,"None","Male","Math","ECO",1,"NonNative","DEU",25
"Post+Amount",119,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Male","NonMath","LAW",0,"Native","GBR",22
"Post+Amount",120,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Female","Math","MED",0,"Native","GBR",20
"Post+Amount",121,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Female","NonMath","ECO",1,"Native","GBR",20
"Post+Amount",122,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Female","Decline","ECO",1,"NonNative","VNM",19
"Post+Amount",123,61,4.75,.5,1,"Qheart",0,"3diamond",1,"Jdiamond",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"2spade",1,"Some","Male","Math","PSY",0,"Native","GBR",18
"Post+Amount",124,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",2,"Some","Female","NonMath","HIS",0,"Native","THA",19
"Post+Amount",125,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Male","Math","NBS",0,"Native","GBR",19
"Post+Amount",126,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","NonMath","LAW",0,"Native","GBR",18
"Post+Amount",127,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Male","NonMath","ENV",0,"Native","GBR",19
"Post+Amount",128,61,6,0,0,"4club",1,"5spade",0,"4spade",1,"Kdiamond",0,"8heart",1,"3spade",1,"2spade",0,"None","Male","NonMath","ENV",0,"NonNative","THA",23
"Post+Amount",129,61,6.65,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"2spade",0,"None","Male","Math","PHA",0,"Native","GBR",20
"Post+Amount",130,61,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",1,"Some","Female","NonMath","LAW",0,"NonNative","DEU",22
"Post+Amount",131,62,6.65,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"2spade",2,"Some","Female","Math","NBS",0,"NonNative","THA",28
"Post+Amount",132,62,6.35,.5,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",0,"Aspade",1,"3spade",1,"2spade",1,"Some","Female","NonMath","ENV",0,"Native","GBR",19
"Post+Amount",133,62,5.95,1,0,"4club",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",2,"Some","Female","NonMath","AMA",0,"Native","SGP",21
"Post+Amount",134,62,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",1,"Some","Male","Math","NBS",0,"Native","GBR",20
"Post+Amount",135,62,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Female","Math","HSC",0,"Native","GBR",25
"Post+Amount",136,62,5.35,.5,0,"4club",1,"5spade",1,"Jdiamond",0,"Jclub",0,"Aspade",1,"3spade",1,"2spade",0,"None","Male","Decline","MTH",0,"NonNative","CHN",24
"Post+Amount",137,62,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Female","NonMath","DEV",0,"Native","GBR",20
"Post+Amount",138,62,5.2,1,0,"6diamond",0,"3diamond",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",0,"None","Female","Math","PSY",0,"NonNative","ITA",25
"Post+Amount",139,62,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"2spade",0,"None","Male","NonMath","BIO",0,"Native","GBR",20
"Post+Amount",140,62,6.75,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",0,"4diamond",1,"5diamond",0,"None","Male","Math","NBS",0,"Native","GBR",24
"Post+Amount",141,62,7,.5,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Male","Math","LAW",0,"NonNative","THA",28
"Post+Amount",142,62,7.1,1,1,"Qheart",1,"5spade",1,"Jdiamond",1,"Kdiamond",1,"10diamond",1,"3spade",1,"5diamond",0,"None","Female","Math","AMA",0,"Native","GBR",19
"Post+Amount",143,62,5.6,0,1,"Qheart",1,"5spade",0,"4spade",1,"Kdiamond",0,"Aspade",0,"Adiamond",1,"2spade",0,"None","Female","NonMath","NBS",0,"Native","MUS",20
