treatment,session,subject,period,board,expect,box,result,boardtype
independent,140312_1452,3,1,yellow,4,70,miss,high
independent,140312_1452,4,1,yellow,6,70,miss,high
independent,140312_1452,5,1,yellow,9,70,miss,high
independent,140312_1452,6,1,yellow,6,70,miss,high
independent,140312_1452,7,1,yellow,4,70,miss,high
independent,140312_1452,8,1,yellow,2,70,miss,high
independent,140312_1452,9,1,yellow,5,70,miss,high
independent,140312_1452,2,2,blue,2,1,miss,low
independent,140312_1452,3,2,blue,8,1,miss,low
independent,140312_1452,4,2,blue,5,1,miss,low
independent,140312_1452,5,2,blue,3,1,miss,low
independent,140312_1452,6,2,blue,4,1,miss,low
independent,140312_1452,7,2,blue,4,1,miss,low
independent,140312_1452,8,2,blue,1,1,miss,low
independent,140312_1452,9,2,blue,6,1,miss,low
independent,140312_1452,2,3,yellow,2,94,miss,high
independent,140312_1452,3,3,yellow,8,94,miss,high
independent,140312_1452,4,3,yellow,1,94,miss,high
independent,140312_1452,5,3,yellow,3,94,miss,high
independent,140312_1452,6,3,yellow,3,94,miss,high
independent,140312_1452,7,3,yellow,3,94,miss,high
independent,140312_1452,8,3,yellow,1,94,miss,high
independent,140312_1452,9,3,yellow,9,94,miss,high
independent,140312_1452,2,4,blue,2,4,miss,low
independent,140312_1452,3,4,blue,9,4,miss,low
independent,140312_1452,4,4,blue,1,4,miss,low
independent,140312_1452,5,4,blue,2,4,miss,low
independent,140312_1452,6,4,blue,3,4,miss,low
independent,140312_1452,7,4,blue,6,4,miss,low
independent,140312_1452,8,4,blue,1,4,miss,low
independent,140312_1452,9,4,blue,8,4,miss,low
independent,140312_1452,2,5,yellow,2,63,hit,high
independent,140312_1452,3,5,yellow,2,63,hit,high
independent,140312_1452,4,5,yellow,1,63,hit,high
independent,140312_1452,5,5,yellow,2,63,hit,high
independent,140312_1452,6,5,yellow,3,63,hit,high
independent,140312_1452,7,5,yellow,2,63,hit,high
independent,140312_1452,8,5,yellow,1,63,hit,high
independent,140312_1452,9,5,yellow,8,63,hit,high
independent,140312_1452,2,6,blue,2,9,hit,low
independent,140312_1452,3,6,blue,3,9,hit,low
independent,140312_1452,4,6,blue,1,9,hit,low
independent,140312_1452,5,6,blue,3,9,hit,low
independent,140312_1452,6,6,blue,2,9,hit,low
independent,140312_1452,7,6,blue,5,9,hit,low
independent,140312_1452,8,6,blue,1,9,hit,low
independent,140312_1452,9,6,blue,9,9,hit,low
independent,140312_1452,2,7,yellow,3,12,miss,high
independent,140312_1452,3,7,yellow,3,12,miss,high
independent,140312_1452,4,7,yellow,4,12,miss,high
independent,140312_1452,5,7,yellow,3,12,miss,high
independent,140312_1452,6,7,yellow,4,12,miss,high
independent,140312_1452,7,7,yellow,6,12,miss,high
independent,140312_1452,8,7,yellow,1,12,miss,high
independent,140312_1452,9,7,yellow,10,12,miss,high
independent,140312_1452,2,8,blue,3,24,miss,low
independent,140312_1452,3,8,blue,10,24,miss,low
independent,140312_1452,4,8,blue,3,24,miss,low
independent,140312_1452,5,8,blue,3,24,miss,low
independent,140312_1452,6,8,blue,6,24,miss,low
independent,140312_1452,7,8,blue,1,24,miss,low
independent,140312_1452,8,8,blue,1,24,miss,low
independent,140312_1452,9,8,blue,10,24,miss,low
independent,140312_1452,2,9,blue,4,81,miss,low
independent,140312_1452,3,9,blue,9,81,miss,low
independent,140312_1452,4,9,blue,2,81,miss,low
independent,140312_1452,5,9,blue,3,81,miss,low
independent,140312_1452,6,9,blue,5,81,miss,low
independent,140312_1452,7,9,blue,8,81,miss,low
independent,140312_1452,8,9,blue,1,81,miss,low
independent,140312_1452,9,9,blue,4,81,miss,low
independent,140312_1452,2,10,yellow,4,25,miss,high
independent,140312_1452,3,10,yellow,2,25,miss,high
independent,140312_1452,4,10,yellow,8,25,miss,high
independent,140312_1452,5,10,yellow,2,25,miss,high
independent,140312_1452,6,10,yellow,6,25,miss,high
independent,140312_1452,7,10,yellow,4,25,miss,high
independent,140312_1452,8,10,yellow,9,25,miss,high
independent,140312_1452,9,10,yellow,1,25,miss,high
independent,140320_1046,2,1,blue,5,40,miss,low
independent,140320_1046,3,1,blue,5,40,miss,low
independent,140320_1046,4,1,blue,7,40,miss,low
independent,140320_1046,5,1,blue,7,40,miss,low
independent,140320_1046,6,1,blue,4,40,miss,low
independent,140320_1046,7,1,blue,7,40,miss,low
independent,140320_1046,8,1,blue,4,40,miss,low
independent,140320_1046,9,1,blue,2,40,miss,low
independent,140320_1046,2,2,yellow,4,95,miss,low
independent,140320_1046,3,2,yellow,4,95,miss,low
independent,140320_1046,4,2,yellow,6,95,miss,low
independent,140320_1046,5,2,yellow,6,95,miss,low
independent,140320_1046,6,2,yellow,3,95,miss,low
independent,140320_1046,7,2,yellow,7,95,miss,low
independent,140320_1046,8,2,yellow,3,95,miss,low
independent,140320_1046,9,2,yellow,2,95,miss,low
independent,140320_1046,2,3,blue,4,29,hit,low
independent,140320_1046,3,3,blue,3,29,hit,low
independent,140320_1046,4,3,blue,2,29,hit,low
independent,140320_1046,5,3,blue,7,29,hit,low
independent,140320_1046,6,3,blue,3,29,hit,low
independent,140320_1046,7,3,blue,6,29,hit,low
independent,140320_1046,8,3,blue,2,29,hit,low
independent,140320_1046,9,3,blue,2,29,hit,low
independent,140320_1046,2,4,yellow,4,1,miss,low
independent,140320_1046,3,4,yellow,4,1,miss,low
independent,140320_1046,4,4,yellow,3,1,miss,low
independent,140320_1046,5,4,yellow,7,1,miss,low
independent,140320_1046,6,4,yellow,4,1,miss,low
independent,140320_1046,7,4,yellow,6,1,miss,low
independent,140320_1046,8,4,yellow,4,1,miss,low
independent,140320_1046,9,4,yellow,2,1,miss,low
independent,140320_1046,2,5,yellow,4,75,miss,low
independent,140320_1046,3,5,yellow,3,75,miss,low
independent,140320_1046,4,5,yellow,5,75,miss,low
independent,140320_1046,5,5,yellow,7,75,miss,low
independent,140320_1046,6,5,yellow,4,75,miss,low
independent,140320_1046,7,5,yellow,3,75,miss,low
independent,140320_1046,8,5,yellow,5,75,miss,low
independent,140320_1046,9,5,yellow,2,75,miss,low
independent,140320_1046,2,6,blue,4,3,hit,low
independent,140320_1046,3,6,blue,5,3,hit,low
independent,140320_1046,4,6,blue,7,3,hit,low
independent,140320_1046,5,6,blue,4,3,hit,low
independent,140320_1046,6,6,blue,3,3,hit,low
independent,140320_1046,7,6,blue,8,3,hit,low
independent,140320_1046,8,6,blue,5,3,hit,low
independent,140320_1046,9,6,blue,2,3,hit,low
independent,140320_1046,2,7,blue,4,7,miss,low
independent,140320_1046,3,7,blue,7,7,miss,low
independent,140320_1046,4,7,blue,4,7,miss,low
independent,140320_1046,5,7,blue,4,7,miss,low
independent,140320_1046,6,7,blue,3,7,miss,low
independent,140320_1046,7,7,blue,8,7,miss,low
independent,140320_1046,8,7,blue,6,7,miss,low
independent,140320_1046,9,7,blue,1,7,miss,low
independent,140320_1046,2,8,yellow,4,9,miss,low
independent,140320_1046,3,8,yellow,2,9,miss,low
independent,140320_1046,4,8,yellow,8,9,miss,low
independent,140320_1046,5,8,yellow,4,9,miss,low
independent,140320_1046,6,8,yellow,4,9,miss,low
independent,140320_1046,7,8,yellow,9,9,miss,low
independent,140320_1046,8,8,yellow,4,9,miss,low
independent,140320_1046,9,8,yellow,2,9,miss,low
independent,140320_1046,2,9,yellow,3,8,miss,low
independent,140320_1046,3,9,yellow,2,8,miss,low
independent,140320_1046,4,9,yellow,8,8,miss,low
independent,140320_1046,5,9,yellow,10,8,miss,low
independent,140320_1046,6,9,yellow,3,8,miss,low
independent,140320_1046,7,9,yellow,5,8,miss,low
independent,140320_1046,8,9,yellow,3,8,miss,low
independent,140320_1046,9,9,yellow,2,8,miss,low
independent,140320_1046,2,10,blue,4,59,miss,low
independent,140320_1046,3,10,blue,4,59,miss,low
independent,140320_1046,4,10,blue,5,59,miss,low
independent,140320_1046,5,10,blue,1,59,miss,low
independent,140320_1046,6,10,blue,3,59,miss,low
independent,140320_1046,7,10,blue,8,59,miss,low
independent,140320_1046,8,10,blue,7,59,miss,low
independent,140320_1046,9,10,blue,1,59,miss,low
independent,140320_1246,2,1,yellow,4,99,miss,high
independent,140320_1246,3,1,yellow,5,99,miss,high
independent,140320_1246,4,1,yellow,2,99,miss,high
independent,140320_1246,5,1,yellow,6,99,miss,high
independent,140320_1246,6,1,yellow,6,99,miss,high
independent,140320_1246,7,1,yellow,4,99,miss,high
independent,140320_1246,8,1,yellow,6,99,miss,high
independent,140320_1246,2,2,blue,3,31,hit,high
independent,140320_1246,3,2,blue,5,31,hit,high
independent,140320_1246,4,2,blue,2,31,hit,high
independent,140320_1246,5,2,blue,3,31,hit,high
independent,140320_1246,6,2,blue,2,31,hit,high
independent,140320_1246,7,2,blue,6,31,hit,high
independent,140320_1246,8,2,blue,6,31,hit,high
independent,140320_1246,2,3,yellow,4,96,miss,high
independent,140320_1246,3,3,yellow,6,96,miss,high
independent,140320_1246,4,3,yellow,2,96,miss,high
independent,140320_1246,5,3,yellow,5,96,miss,high
independent,140320_1246,6,3,yellow,5,96,miss,high
independent,140320_1246,7,3,yellow,6,96,miss,high
independent,140320_1246,8,3,yellow,6,96,miss,high
independent,140320_1246,2,4,blue,5,68,hit,high
independent,140320_1246,3,4,blue,5,68,hit,high
independent,140320_1246,4,4,blue,2,68,hit,high
independent,140320_1246,5,4,blue,5,68,hit,high
independent,140320_1246,6,4,blue,5,68,hit,high
independent,140320_1246,7,4,blue,7,68,hit,high
independent,140320_1246,8,4,blue,7,68,hit,high
independent,140320_1246,2,5,yellow,3,80,miss,high
independent,140320_1246,3,5,yellow,3,80,miss,high
independent,140320_1246,4,5,yellow,2,80,miss,high
independent,140320_1246,5,5,yellow,2,80,miss,high
independent,140320_1246,6,5,yellow,7,80,miss,high
independent,140320_1246,7,5,yellow,7,80,miss,high
independent,140320_1246,8,5,yellow,4,80,miss,high
independent,140320_1246,2,6,yellow,3,57,miss,high
independent,140320_1246,3,6,yellow,2,57,miss,high
independent,140320_1246,4,6,yellow,2,57,miss,high
independent,140320_1246,5,6,yellow,1,57,miss,high
independent,140320_1246,6,6,yellow,5,57,miss,high
independent,140320_1246,7,6,yellow,6,57,miss,high
independent,140320_1246,8,6,yellow,4,57,miss,high
independent,140320_1246,2,7,blue,5,18,miss,high
independent,140320_1246,3,7,blue,7,18,miss,high
independent,140320_1246,4,7,blue,3,18,miss,high
independent,140320_1246,5,7,blue,7,18,miss,high
independent,140320_1246,6,7,blue,8,18,miss,high
independent,140320_1246,7,7,blue,9,18,miss,high
independent,140320_1246,8,7,blue,7,18,miss,high
independent,140320_1246,2,8,blue,6,34,miss,high
independent,140320_1246,3,8,blue,6,34,miss,high
independent,140320_1246,4,8,blue,2,34,miss,high
independent,140320_1246,5,8,blue,6,34,miss,high
independent,140320_1246,6,8,blue,5,34,miss,high
independent,140320_1246,7,8,blue,10,34,miss,high
independent,140320_1246,8,8,blue,6,34,miss,high
independent,140320_1246,2,9,yellow,4,48,hit,high
independent,140320_1246,3,9,yellow,4,48,hit,high
independent,140320_1246,4,9,yellow,2,48,hit,high
independent,140320_1246,5,9,yellow,6,48,hit,high
independent,140320_1246,6,9,yellow,7,48,hit,high
independent,140320_1246,7,9,yellow,9,48,hit,high
independent,140320_1246,8,9,yellow,4,48,hit,high
independent,140320_1246,2,10,blue,6,59,miss,high
independent,140320_1246,3,10,blue,6,59,miss,high
independent,140320_1246,4,10,blue,2,59,miss,high
independent,140320_1246,5,10,blue,8,59,miss,high
independent,140320_1246,6,10,blue,1,59,miss,high
independent,140320_1246,7,10,blue,10,59,miss,high
independent,140320_1246,8,10,blue,6,59,miss,high
negative,140305_1118,2,1,yellow,5,85,miss,high
negative,140305_1118,3,1,yellow,3,85,miss,high
negative,140305_1118,4,1,yellow,4,85,miss,high
negative,140305_1118,5,1,yellow,2,85,miss,high
negative,140305_1118,6,1,yellow,5,85,miss,high
negative,140305_1118,7,1,yellow,8,85,miss,high
negative,140305_1118,2,2,blue,9,97,miss,low
negative,140305_1118,3,2,blue,3,97,miss,low
negative,140305_1118,4,2,blue,4,97,miss,low
negative,140305_1118,5,2,blue,3,97,miss,low
negative,140305_1118,6,2,blue,7,97,miss,low
negative,140305_1118,7,2,blue,7,97,miss,low
negative,140305_1118,2,3,yellow,1,46,miss,high
negative,140305_1118,3,3,yellow,3,46,miss,high
negative,140305_1118,4,3,yellow,5,46,miss,high
negative,140305_1118,5,3,yellow,3,46,miss,high
negative,140305_1118,6,3,yellow,4,46,miss,high
negative,140305_1118,7,3,yellow,5,46,miss,high
negative,140305_1118,2,4,blue,10,37,miss,low
negative,140305_1118,3,4,blue,3,37,miss,low
negative,140305_1118,4,4,blue,6,37,miss,low
negative,140305_1118,5,4,blue,5,37,miss,low
negative,140305_1118,6,4,blue,4,37,miss,low
negative,140305_1118,7,4,blue,6,37,miss,low
negative,140305_1118,2,5,blue,1,60,miss,low
negative,140305_1118,3,5,blue,3,60,miss,low
negative,140305_1118,4,5,blue,7,60,miss,low
negative,140305_1118,5,5,blue,5,60,miss,low
negative,140305_1118,6,5,blue,8,60,miss,low
negative,140305_1118,7,5,blue,6,60,miss,low
negative,140305_1118,2,6,yellow,7,28,hit,high
negative,140305_1118,3,6,yellow,3,28,hit,high
negative,140305_1118,4,6,yellow,5,28,hit,high
negative,140305_1118,5,6,yellow,3,28,hit,high
negative,140305_1118,6,6,yellow,6,28,hit,high
negative,140305_1118,7,6,yellow,1,28,hit,high
negative,140305_1118,2,7,blue,2,50,miss,low
negative,140305_1118,3,7,blue,3,50,miss,low
negative,140305_1118,4,7,blue,4,50,miss,low
negative,140305_1118,5,7,blue,5,50,miss,low
negative,140305_1118,6,7,blue,6,50,miss,low
negative,140305_1118,7,7,blue,1,50,miss,low
negative,140305_1118,2,8,yellow,6,1,hit,high
negative,140305_1118,3,8,yellow,3,1,hit,high
negative,140305_1118,4,8,yellow,6,1,hit,high
negative,140305_1118,5,8,yellow,6,1,hit,high
negative,140305_1118,6,8,yellow,7,1,hit,high
negative,140305_1118,7,8,yellow,1,1,hit,high
negative,140305_1118,2,9,yellow,7,80,miss,high
negative,140305_1118,3,9,yellow,3,80,miss,high
negative,140305_1118,4,9,yellow,4,80,miss,high
negative,140305_1118,5,9,yellow,7,80,miss,high
negative,140305_1118,6,9,yellow,8,80,miss,high
negative,140305_1118,7,9,yellow,1,80,miss,high
negative,140305_1118,2,10,blue,2,19,miss,low
negative,140305_1118,3,10,blue,3,19,miss,low
negative,140305_1118,4,10,blue,3,19,miss,low
negative,140305_1118,5,10,blue,3,19,miss,low
negative,140305_1118,6,10,blue,6,19,miss,low
negative,140305_1118,7,10,blue,10,19,miss,low
negative,140305_1411,2,1,blue,9,54,miss,low
negative,140305_1411,3,1,blue,5,54,miss,low
negative,140305_1411,4,1,blue,3,54,miss,low
negative,140305_1411,5,1,blue,8,54,miss,low
negative,140305_1411,6,1,blue,2,54,miss,low
negative,140305_1411,7,1,blue,2,54,miss,low
negative,140305_1411,8,1,blue,3,54,miss,low
negative,140305_1411,9,1,blue,4,54,miss,low
negative,140305_1411,2,2,yellow,9,59,miss,high
negative,140305_1411,3,2,yellow,5,59,miss,high
negative,140305_1411,4,2,yellow,4,59,miss,high
negative,140305_1411,5,2,yellow,9,59,miss,high
negative,140305_1411,6,2,yellow,2,59,miss,high
negative,140305_1411,7,2,yellow,2,59,miss,high
negative,140305_1411,8,2,yellow,3,59,miss,high
negative,140305_1411,9,2,yellow,3,59,miss,high
negative,140305_1411,2,3,yellow,9,23,miss,high
negative,140305_1411,3,3,yellow,4,23,miss,high
negative,140305_1411,4,3,yellow,4,23,miss,high
negative,140305_1411,5,3,yellow,3,23,miss,high
negative,140305_1411,6,3,yellow,2,23,miss,high
negative,140305_1411,7,3,yellow,2,23,miss,high
negative,140305_1411,8,3,yellow,3,23,miss,high
negative,140305_1411,9,3,yellow,3,23,miss,high
negative,140305_1411,2,4,blue,1,46,miss,low
negative,140305_1411,3,4,blue,5,46,miss,low
negative,140305_1411,4,4,blue,2,46,miss,low
negative,140305_1411,5,4,blue,10,46,miss,low
negative,140305_1411,6,4,blue,2,46,miss,low
negative,140305_1411,7,4,blue,2,46,miss,low
negative,140305_1411,8,4,blue,3,46,miss,low
negative,140305_1411,9,4,blue,3,46,miss,low
negative,140305_1411,2,5,yellow,10,42,miss,high
negative,140305_1411,3,5,yellow,4,42,miss,high
negative,140305_1411,4,5,yellow,5,42,miss,high
negative,140305_1411,5,5,yellow,1,42,miss,high
negative,140305_1411,6,5,yellow,2,42,miss,high
negative,140305_1411,7,5,yellow,2,42,miss,high
negative,140305_1411,8,5,yellow,3,42,miss,high
negative,140305_1411,9,5,yellow,3,42,miss,high
negative,140305_1411,2,6,yellow,10,92,hit,high
negative,140305_1411,3,6,yellow,4,92,hit,high
negative,140305_1411,4,6,yellow,5,92,hit,high
negative,140305_1411,5,6,yellow,8,92,hit,high
negative,140305_1411,6,6,yellow,2,92,hit,high
negative,140305_1411,7,6,yellow,2,92,hit,high
negative,140305_1411,8,6,yellow,3,92,hit,high
negative,140305_1411,9,6,yellow,3,92,hit,high
negative,140305_1411,2,7,yellow,9,51,miss,high
negative,140305_1411,3,7,yellow,5,51,miss,high
negative,140305_1411,4,7,yellow,3,51,miss,high
negative,140305_1411,5,7,yellow,2,51,miss,high
negative,140305_1411,6,7,yellow,2,51,miss,high
negative,140305_1411,7,7,yellow,2,51,miss,high
negative,140305_1411,8,7,yellow,2,51,miss,high
negative,140305_1411,9,7,yellow,3,51,miss,high
negative,140305_1411,2,8,blue,10,63,miss,low
negative,140305_1411,3,8,blue,5,63,miss,low
negative,140305_1411,4,8,blue,6,63,miss,low
negative,140305_1411,5,8,blue,1,63,miss,low
negative,140305_1411,6,8,blue,3,63,miss,low
negative,140305_1411,7,8,blue,2,63,miss,low
negative,140305_1411,8,8,blue,3,63,miss,low
negative,140305_1411,9,8,blue,3,63,miss,low
negative,140305_1411,2,9,blue,9,49,miss,low
negative,140305_1411,3,9,blue,4,49,miss,low
negative,140305_1411,4,9,blue,3,49,miss,low
negative,140305_1411,5,9,blue,1,49,miss,low
negative,140305_1411,6,9,blue,3,49,miss,low
negative,140305_1411,7,9,blue,2,49,miss,low
negative,140305_1411,8,9,blue,2,49,miss,low
negative,140305_1411,9,9,blue,3,49,miss,low
negative,140305_1411,2,10,blue,10,62,miss,low
negative,140305_1411,3,10,blue,3,62,miss,low
negative,140305_1411,4,10,blue,3,62,miss,low
negative,140305_1411,5,10,blue,10,62,miss,low
negative,140305_1411,6,10,blue,3,62,miss,low
negative,140305_1411,7,10,blue,2,62,miss,low
negative,140305_1411,8,10,blue,1,62,miss,low
negative,140305_1411,9,10,blue,3,62,miss,low
negative,140310_0937,2,1,blue,7,19,miss,high
negative,140310_0937,3,1,blue,4,19,miss,high
negative,140310_0937,4,1,blue,8,19,miss,high
negative,140310_0937,5,1,blue,2,19,miss,high
negative,140310_0937,6,1,blue,6,19,miss,high
negative,140310_0937,7,1,blue,6,19,miss,high
negative,140310_0937,8,1,blue,5,19,miss,high
negative,140310_0937,9,1,blue,6,19,miss,high
negative,140310_0937,2,2,yellow,8,9,hit,low
negative,140310_0937,3,2,yellow,1,9,hit,low
negative,140310_0937,4,2,yellow,8,9,hit,low
negative,140310_0937,5,2,yellow,2,9,hit,low
negative,140310_0937,6,2,yellow,5,9,hit,low
negative,140310_0937,7,2,yellow,6,9,hit,low
negative,140310_0937,8,2,yellow,7,9,hit,low
negative,140310_0937,9,2,yellow,6,9,hit,low
negative,140310_0937,2,3,blue,10,46,miss,high
negative,140310_0937,3,3,blue,4,46,miss,high
negative,140310_0937,4,3,blue,8,46,miss,high
negative,140310_0937,5,3,blue,2,46,miss,high
negative,140310_0937,6,3,blue,5,46,miss,high
negative,140310_0937,7,3,blue,2,46,miss,high
negative,140310_0937,8,3,blue,7,46,miss,high
negative,140310_0937,9,3,blue,6,46,miss,high
negative,140310_0937,2,4,blue,6,2,miss,high
negative,140310_0937,3,4,blue,4,2,miss,high
negative,140310_0937,4,4,blue,8,2,miss,high
negative,140310_0937,5,4,blue,2,2,miss,high
negative,140310_0937,6,4,blue,5,2,miss,high
negative,140310_0937,7,4,blue,2,2,miss,high
negative,140310_0937,8,4,blue,6,2,miss,high
negative,140310_0937,9,4,blue,6,2,miss,high
negative,140310_0937,2,5,yellow,3,15,miss,low
negative,140310_0937,3,5,yellow,7,15,miss,low
negative,140310_0937,4,5,yellow,8,15,miss,low
negative,140310_0937,5,5,yellow,2,15,miss,low
negative,140310_0937,6,5,yellow,7,15,miss,low
negative,140310_0937,7,5,yellow,9,15,miss,low
negative,140310_0937,8,5,yellow,8,15,miss,low
negative,140310_0937,9,5,yellow,8,15,miss,low
negative,140310_0937,2,6,yellow,10,34,miss,low
negative,140310_0937,3,6,yellow,5,34,miss,low
negative,140310_0937,4,6,yellow,5,34,miss,low
negative,140310_0937,5,6,yellow,2,34,miss,low
negative,140310_0937,6,6,yellow,7,34,miss,low
negative,140310_0937,7,6,yellow,8,34,miss,low
negative,140310_0937,8,6,yellow,4,34,miss,low
negative,140310_0937,9,6,yellow,8,34,miss,low
negative,140310_0937,2,7,blue,3,98,hit,high
negative,140310_0937,3,7,blue,6,98,hit,high
negative,140310_0937,4,7,blue,4,98,hit,high
negative,140310_0937,5,7,blue,2,98,hit,high
negative,140310_0937,6,7,blue,7,98,hit,high
negative,140310_0937,7,7,blue,5,98,hit,high
negative,140310_0937,8,7,blue,6,98,hit,high
negative,140310_0937,9,7,blue,5,98,hit,high
negative,140310_0937,2,8,yellow,4,11,miss,low
negative,140310_0937,3,8,yellow,4,11,miss,low
negative,140310_0937,4,8,yellow,4,11,miss,low
negative,140310_0937,5,8,yellow,2,11,miss,low
negative,140310_0937,6,8,yellow,4,11,miss,low
negative,140310_0937,7,8,yellow,6,11,miss,low
negative,140310_0937,8,8,yellow,7,11,miss,low
negative,140310_0937,9,8,yellow,7,11,miss,low
negative,140310_0937,2,9,yellow,4,72,miss,low
negative,140310_0937,3,9,yellow,1,72,miss,low
negative,140310_0937,4,9,yellow,2,72,miss,low
negative,140310_0937,5,9,yellow,2,72,miss,low
negative,140310_0937,6,9,yellow,4,72,miss,low
negative,140310_0937,7,9,yellow,3,72,miss,low
negative,140310_0937,8,9,yellow,7,72,miss,low
negative,140310_0937,9,9,yellow,6,72,miss,low
negative,140310_0937,2,10,blue,9,35,miss,high
negative,140310_0937,3,10,blue,6,35,miss,high
negative,140310_0937,4,10,blue,2,35,miss,high
negative,140310_0937,5,10,blue,2,35,miss,high
negative,140310_0937,6,10,blue,8,35,miss,high
negative,140310_0937,7,10,blue,8,35,miss,high
negative,140310_0937,8,10,blue,5,35,miss,high
negative,140310_0937,9,10,blue,6,35,miss,high
negative,140310_1048,2,1,yellow,4,58,hit,high
negative,140310_1048,3,1,yellow,3,58,hit,high
negative,140310_1048,4,1,yellow,1,58,hit,high
negative,140310_1048,5,1,yellow,6,58,hit,high
negative,140310_1048,6,1,yellow,10,58,hit,high
negative,140310_1048,7,1,yellow,9,58,hit,high
negative,140310_1048,8,1,yellow,8,58,hit,high
negative,140310_1048,2,2,blue,5,2,miss,low
negative,140310_1048,3,2,blue,1,2,miss,low
negative,140310_1048,4,2,blue,1,2,miss,low
negative,140310_1048,5,2,blue,4,2,miss,low
negative,140310_1048,6,2,blue,3,2,miss,low
negative,140310_1048,7,2,blue,9,2,miss,low
negative,140310_1048,8,2,blue,9,2,miss,low
negative,140310_1048,2,3,yellow,6,82,hit,high
negative,140310_1048,3,3,yellow,5,82,hit,high
negative,140310_1048,4,3,yellow,2,82,hit,high
negative,140310_1048,5,3,yellow,8,82,hit,high
negative,140310_1048,6,3,yellow,10,82,hit,high
negative,140310_1048,7,3,yellow,8,82,hit,high
negative,140310_1048,8,3,yellow,7,82,hit,high
negative,140310_1048,2,4,yellow,7,46,miss,high
negative,140310_1048,3,4,yellow,3,46,miss,high
negative,140310_1048,4,4,yellow,3,46,miss,high
negative,140310_1048,5,4,yellow,8,46,miss,high
negative,140310_1048,6,4,yellow,9,46,miss,high
negative,140310_1048,7,4,yellow,7,46,miss,high
negative,140310_1048,8,4,yellow,4,46,miss,high
negative,140310_1048,2,5,blue,4,79,miss,low
negative,140310_1048,3,5,blue,5,79,miss,low
negative,140310_1048,4,5,blue,1,79,miss,low
negative,140310_1048,5,5,blue,3,79,miss,low
negative,140310_1048,6,5,blue,8,79,miss,low
negative,140310_1048,7,5,blue,4,79,miss,low
negative,140310_1048,8,5,blue,6,79,miss,low
negative,140310_1048,2,6,blue,3,63,miss,low
negative,140310_1048,3,6,blue,5,63,miss,low
negative,140310_1048,4,6,blue,1,63,miss,low
negative,140310_1048,5,6,blue,2,63,miss,low
negative,140310_1048,6,6,blue,8,63,miss,low
negative,140310_1048,7,6,blue,3,63,miss,low
negative,140310_1048,8,6,blue,6,63,miss,low
negative,140310_1048,2,7,yellow,5,96,miss,high
negative,140310_1048,3,7,yellow,7,96,miss,high
negative,140310_1048,4,7,yellow,3,96,miss,high
negative,140310_1048,5,7,yellow,7,96,miss,high
negative,140310_1048,6,7,yellow,8,96,miss,high
negative,140310_1048,7,7,yellow,9,96,miss,high
negative,140310_1048,8,7,yellow,5,96,miss,high
negative,140310_1048,2,8,blue,2,45,miss,low
negative,140310_1048,3,8,blue,7,45,miss,low
negative,140310_1048,4,8,blue,1,45,miss,low
negative,140310_1048,5,8,blue,2,45,miss,low
negative,140310_1048,6,8,blue,6,45,miss,low
negative,140310_1048,7,8,blue,6,45,miss,low
negative,140310_1048,8,8,blue,5,45,miss,low
negative,140310_1048,2,9,blue,1,71,miss,low
negative,140310_1048,3,9,blue,7,71,miss,low
negative,140310_1048,4,9,blue,1,71,miss,low
negative,140310_1048,5,9,blue,2,71,miss,low
negative,140310_1048,6,9,blue,6,71,miss,low
negative,140310_1048,7,9,blue,3,71,miss,low
negative,140310_1048,8,9,blue,2,71,miss,low
negative,140310_1048,2,10,yellow,5,4,hit,high
negative,140310_1048,3,10,yellow,5,4,hit,high
negative,140310_1048,4,10,yellow,3,4,hit,high
negative,140310_1048,5,10,yellow,6,4,hit,high
negative,140310_1048,6,10,yellow,10,4,hit,high
negative,140310_1048,7,10,yellow,8,4,hit,high
negative,140310_1048,8,10,yellow,2,4,hit,high
negative,140310_1305,2,1,blue,10,97,miss,high
negative,140310_1305,3,1,blue,5,97,miss,high
negative,140310_1305,4,1,blue,10,97,miss,high
negative,140310_1305,5,1,blue,2,97,miss,high
negative,140310_1305,6,1,blue,7,97,miss,high
negative,140310_1305,7,1,blue,5,97,miss,high
negative,140310_1305,8,1,blue,6,97,miss,high
negative,140310_1305,2,2,yellow,10,66,hit,low
negative,140310_1305,3,2,yellow,1,66,hit,low
negative,140310_1305,4,2,yellow,10,66,hit,low
negative,140310_1305,5,2,yellow,2,66,hit,low
negative,140310_1305,6,2,yellow,8,66,hit,low
negative,140310_1305,7,2,yellow,5,66,hit,low
negative,140310_1305,8,2,yellow,6,66,hit,low
negative,140310_1305,2,3,blue,7,23,miss,high
negative,140310_1305,3,3,blue,1,23,miss,high
negative,140310_1305,4,3,blue,10,23,miss,high
negative,140310_1305,5,3,blue,2,23,miss,high
negative,140310_1305,6,3,blue,7,23,miss,high
negative,140310_1305,7,3,blue,5,23,miss,high
negative,140310_1305,8,3,blue,7,23,miss,high
negative,140310_1305,2,4,yellow,9,99,hit,low
negative,140310_1305,3,4,yellow,1,99,hit,low
negative,140310_1305,4,4,yellow,10,99,hit,low
negative,140310_1305,5,4,yellow,2,99,hit,low
negative,140310_1305,6,4,yellow,6,99,hit,low
negative,140310_1305,7,4,yellow,6,99,hit,low
negative,140310_1305,8,4,yellow,5,99,hit,low
negative,140310_1305,2,5,yellow,8,85,miss,low
